id,title,type,organization,location,createdDate,deadlineDate,description,eligibility,benefits,applicatoinProcess,requiredDocuments,websiteURL,contact,additionalInformation,isRecurring,educationLevel,field,pictureURL
11,EB Perals Scholorship in Kathford,National,Kathford Interantional College,"Balkumari, Lalitpur",16/10/2023 19:28:22,,This scholarship is provided by EB Pearls Nepal for girls studying either BCA or BSc csit each year.,Must be a girl studying IT related subject,This scholarship provides half scholarship and encourages young girls to study tech subject in Nepal. They provide office tours and shows the way on how developers work in Real Life.,Every year they provide form in college and a special exam is held.,,https://kathford.edu.np/kathford-scholarships/,https://kathford.edu.np/kathford-scholarships/,,Recurring,Bachelors,Tech,https://drive.google.com/open?id=14SM2Biv-aZHrrU2dn8Pjwd4wbCdOtd09
12,Miami University Presidential Fellows Program 2024,International,Miami University,United States,16/10/2023 19:39:44,2023-12-01,"Miami University, one of eight original Public Ivies, is regarded for its unparalleled commitment to undergraduate teaching and for providing students with robust, immersive, and transformative learning experiences. In keeping with its centuries-old tradition of academic excellence, Miami University is pleased to offer the Presidential Fellows Program (PFP), an elite scholarship opportunity that provides the brightest and best scholars and leaders of the 21st century with an unprecedented and exceptional college experience.","Basic requirements for admission as an international student to a bachelor’s degree program include the following:
1. Completion of formal secondary education in a pre-university curriculum.

2. Completion must include the awarding of a diploma or the issuance of a leaving certificate or matriculation certificate generally recognized as the educational qualification necessary for admission to higher studies.

3. English language ability at a level sufficient to undertake a full course of study.
For more information on meeting this qualification, see Miami University’s English language proficiency requirements.

4. Scholastic Aptitude Test (SAT) or American College Testing (ACT) scores (if applicable).
International students are not required to provide an ACT or SAT score, but they may use the ACT or SAT to satisfy English language proficiency requirements. 

5. International students who are visa holders in the U.S. must provide a copy of their current visa or immigration status.  

Financial Support Documentation (at the time of application):

1. International students who are not currently located in the United States are required to submit the online Financial Estimate Form. 

2. After receiving an offer of admission: International students who require I-20 or DS-2019 documents (F-1 or J-1 visa) to attend Miami University are required to provide documentation of financial support adequate to cover all educational and living expenses by submitting the online Financial Support Form along with supporting financial verification (bank documentation).","
A four-year, renewable scholarship covering tuition, fees, housing, and food.

A one-time $5,000 academic enrichment stipend.

Tailored programming for the Presidential Fellows cohort, including Miami’s U-Lead Conference.

The Presidential Fellows Program scholarship package will cover tuition and fees for eight fall/spring semesters provided that the student maintains a 3.50 cumulative grade point average each year. Tuition and fees include all instructional, non-resident surcharge, basic general, career development, and course fees that they are charged.

The Presidential Fellows Program scholarship package will not cover winter/summer terms, study abroad fees, university contract confirmation deposits, health insurance, health center fees, pharmacy charges, orientation, pre-enrollment or pre-admission testing fees, books, computers, supplies, or other necessities. It will also not cover other optional expenses such as MUlaa accounts, parking permits, parking fines, library fines, air conditioner rentals, and cell/telephone charges. 

This list is not exhaustive and Miami University reserves the right to determine which charges may/may not be paid by the Presidential Fellows Program scholarship.
","To be considered, apply to Miami University via the Common Application by 11:59 p.m. on Dec. 1, making sure to indicate the student’s interest for Miami’s Honors College.

PFP finalists will be notified in January.",N/A,https://www.youthop.com/scholarships/miami-university-presidential-fellows-program-2024?ref=browse_page,,,,,,
13,Doha Institute Scholarship,International,Doha Institute,Qatar,16/10/2023 19:45:35,2024-01-15,Fully funded Doha Institute scholarships in Qatar are open for international graduate students to pursue higher studies in Qatar for the academic year 2024.,"1. Applicants from any nationality from anywhere in the world are eligible to apply.

2. Also, international applicants must have a bachelor’s degree certificate to apply for graduate scholarships at Doha Institute.

3. Students in the final year of the undergraduate program are also eligible to apply for admission.

4. Furthermore, there are no age restrictions to apply for graduate studies and scholarships.

5. Students must have an excellent academic record.

6. Students shall also meet the admission criteria of the program they are interested in studying at Doha Institute of Graduate Studies.

7. The scholarships in Qatar are also open for Pakistani students.","A. Tamim Scholarships:

The Tamim scholarship by Doha Institute is a merit-based scholarship offered to Qatari and International Students based on their excellent achievements in the educational field.

1. The scholarship in Qatar offers 100% of tuition fee coverage.

2. In addition, free housing/accommodation at the institute’s dormitory is provided.

3. Furthermore, international students will also receive a monthly allowance.

4. The Doha Institute Scholarship 2024 will also offer health insurance for scholarship recipients.

5. Besides, round-trip airfare tickets may be covered.

B. SANAD Grant Scholarships:
SANAD Grant scholarships are the grants/scholarships provided as Financial Need scholarships to National and International Students according to their financial needs. Benefits are provided below:

1. The Doha Institute Scholarship 2024 offers 100% of tuition fee coverage.

2. This scholarship also provides free housing/accommodation at the institute’s dormitory.

3. Furthermore, international students will also receive a monthly allowance, the same as the Tamim Scholarships.

4. Doha Institute Scholarship will also provide health insurance for scholarship recipients.

5. Round trip airfare ticket coverage.

6. Most importantly, both scholarships are fully funded opportunities for international students to study in Qatar for free.

7.It is an opportunity for international students to live and study in Qatar for free.","1. Click on the link https://www.dohainstitute.edu.qa/AR/Prospective_Students/Admissions/Pages/scholorships_new.aspx#
 to start your International Doha Institute Scholarship Program 2024 application.

2. International applicants must apply for the eligible program and get acceptance from the university.

3. The admission department will send a link for the online scholarship form.

4. Submit the completely filled application with the required documents.

5.The admission department will announce the Doha Institute for Graduate Studies Scholarships 2024 awardees and grants.

",N/A,https://www.youthop.com/scholarships/doha-institute-scholarships-2024-in-qatar-full-scholarship?ref=browse_page,,,,Masters,(Did not find),
14,Oxford-Pershing Square Graduate Scholarship,International,University of Oxford,United Kingdom,16/10/2023 19:49:41,2024-01-05,"The Oxford Pershing Square Graduate Scholarships, offered for the 2024-2025 academic year, represent a prestigious and transformative opportunity for aspiring students seeking to pursue their master’s or MBA studies at the renowned University of Oxford in the United Kingdom. This scholarship program, encompassing both domestic and international students, is designed to open doors for talented individuals who wish to expand their horizons and make a lasting impact on the global stage.","1. Applicants must have been admitted to the Oxford Master’s program or 1+1 MBA program prior to the selection process.

2. Applicants must not have been considered for the scholarship in the previous year.

3. Applicants who have been admitted to the 1+1 MBA program are eligible to apply.

4. Applicants must have a passion for pursuing their studies in an international university.

5. Applicants must have a good academic background.

6. Applicants must have a strong personal statement that demonstrates their commitment to transforming the world.

7. Applicants must provide two letters of recommendation from academic or professional references.

8. Applicants must submit their official transcripts from their undergraduate institution.

9. Applicants must submit their GMAT or GRE scores (if applicable).","1. The scholarship covers the course fees for the Master’s degree program and MBA program.

2. The scholarship provides a grant for living costs of at least €17,668 per year for two years.

3.The scholarship recipient will become familiar with European traditions, culture, and norms.

4. The scholarship recipient will have the opportunity to polish their knowledge in an international academic environment.

5. The scholarship will help the recipient contribute towards the achievement of their life goals.","1. Applicants must apply through the official website of the University of Oxford.

2. Applicants must submit the application for both the Master’s degree program and the MBA program.

3. Applicants must go to the funding section of the application and upload the scholarship essay there.

4. The scholarship essay must be no more than 500 words and must answer the following question: “How will this program contribute to your commitment to transform the world and how does this demonstrate your personality?”

5. Applicants must provide any supporting documents that are requested, such as transcripts, letters of recommendation, or GMAT/GRE scores.",N/A,https://www.youthop.com/scholarships/oxford-pershing-square-graduate-scholarships-2024?ref=browse_page,,,,Masters,All subject available,
15,University of Twente Scholarship 2024,International,University of Twente,Netherlands,16/10/2023 19:59:27,2024-02-01,"The University of Twente Scholarship 2024 is accepting applications for a master’s degree program. The University of Twente Scholarship in Europe is offered for both EU/EEA and non-EEA students; the scholarship is open to all domestic and international scholarships. By studying at the University of Twente, scholarship recipients will also have a chance to study with students from different cultures and backgrounds, which will help them broaden their network and work on different international projects.","1. Applicants must have completed a bachelor’s program and hold a degree to apply for the University of Twente scholarship.

2. The applicants must have an average grade of 7 out of 10 after the third quartile of their first year to meet the criteria.

3. Furthermore, they must maintain 50% of European credits to meet the criteria.

4. Applicants must have a conditional admission letter of any of the master’s programs starting in the academic year 2023/2024 (September) at the University of Twente.

5. Moreover, applicants must have a student number.

6. They should be proficient in English and fulfill the English requirements of IELTS 6.5 (or TOEFL iBT of 90)

7. Applicants must have an excellent academic record.

8. Applicants of this master’s scholarship are not eligible for a Dutch study loan;

9. Also, students must meet the program criteria.

10.They must not have graduated from UT.","1. The scholarship will provide € 3,000 to € 22,000 annually.

2. Scholarship recipients will also get a chance to study at an internationally recognized university and explore the world by working in world-class research laboratories.

3. It’s an opportunity to explore the culture and lifestyle of the Netherlands.

4. The scholarship for international students will open doors to international career opportunities.","1. Applicants can start the application process by clicking on the given link https://www.utwente.nl/en/education/scholarship-finder/university-of-twente-scholarship/#applicationrequirements.

2. Applicants must first apply for the master’s program at the University of Twente, and after receiving the unconditional admission letter, students can apply for the UTS 2024.

3. The scholarship in the Netherlands is not offered for geoinformation science and earth observation-related programs.

4. At first, applicants must add the student number; they can get this number from their Studielink account.

5. Fill out the details and attach the required documents before the deadline.",N/A,https://www.youthop.com/scholarships/university-of-twente-scholarship-2024?ref=browse_page,,,,Masters,All subject available,
16,University o,International,University of Oxford,United Kingdom,16/10/2023 20:09:44,2024-01-05,"The University of Oxford is a collegiate research university in Oxford, England. There is evidence of teaching as early as 1096, making it the oldest university in the English-speaking world and the world’s second-oldest university in continuous operation. It grew rapidly from 1167 when Henry II banned English students from attending the University of Paris. After disputes between students and Oxford townsfolk in 1209, some academics fled north-east to Cambridge where they established what became the University of Cambridge. The two English ancient universities share many common features and are jointly referred to as Oxbridge.","1. Applicants must be applying to start a new graduate course at Oxford.

2. Applicants should be able to demonstrate a connection between their subject of study and their longer-term career objectives, explaining how they see their professional work contributing to the improvement of public life in their country of origin or at a wider regional or international level.

3. Applicants should be intending to return to their country of ordinary residence once their course is completed.

4. Students currently at Oxford are not eligible to apply unless they are already Weidenfeld-Hoffmann scholars.","1. The scholarship will cover 100% of course fees.

2. A grant for living costs (of at least £18,622).

3. Awards are made to cover the full duration of the applicants fee liability for the agreed course.","1. In order to be considered for this scholarship, applicants must select the Weidenfeld-Hoffmann Scholarships and Leadership Programme in the University of Oxford Scholarships section of the University’s graduate application form and submit their application for graduate study by the relevant December or January deadline for their course.

2. Applicants must also complete a Weidenfeld-Hoffmann Scholarships Statement and upload it, together with their graduate application form, by the deadline.",N/A,https://www.youthop.com/scholarships/university-of-oxford-weidenfeld-hoffmann-scholarships-2024?ref=browse_page,,,,Masters,All subject available,
17,Government of Ireland Postgraduate Scholarship,International,Government of Ireland (not sure),Ireland,16/10/2023 20:19:46,2024-09-01,"The Government of Ireland Postgraduate Scholarships 2024 is the best scholarship for International students in Ireland and is available for all disciplines. The program’s participants are distinguished for displaying world-class potential as future research leaders. The Ireland Scholarship 2024 provides equal opportunity to people of all nationalities. The Irish Research Council works with businesses, civil society organizations, and the government to maximize the value of researchers’ skills, expertise, and talent to give society the highest benefit. The sole purpose of this grant is to cultivate the aptitude of the candidates in order to serve the community in a better way. The courses of these degree programs would be conducted in the English language.","1. The applicants can be of any age in order to apply for the Ireland scholarship.
Prior to accessing an application form, all applicants must take and pass an eligibility quiz on the online application system.

2. All applicants must be linked with an Eligible university listed above.

3. Candidates must have a Bachelor`s Degree for pursuing a Master’s and a Master`s Degree for pursuing PhD Applications.

4. Applicants must be fluent in both written and spoken English.

5. Academic referees and supervisors must provide positive reports of the applicants.

6. In order to be considered, applicants must not have failed twice in their previous applications for the same program. This is true whether the applicant’s host institution or research topic has changed since their last submission.

7. Students waiting for their Results can also apply. However, they must get provisional certificates from their home institutions.

8. The applicants must have first-class or upper-second-class degrees.

9. Applicants seeking a research master’s degree or a doctoral degree must not possess or have previously held an Irish Research Council scholarship.

10. All applicants must have a willing supervisor who can’t guide them on their research projects during their studies in Ireland.

11.The candidates who have research topics related to; humans, Human modification (except for cancer research), and the production of human embryos.","1. The student will get a stipend of €19,000 per year.

2. The scholarship will cover the tuition fee.

3. The student will receive research expenses of €3,250 per year.

4. Individual, significant rewards will be given to candidates in their own names for outstanding research.

5. Global, independent expert peer evaluation as part of an objective selection process

6. The candidates will get to study at the world’s leading universities in Ireland.

7. The scholarship also non-European Union fees for candidates which will be up to €5,750.","1. Apply online for the Government of Ireland Postgraduate Scholarships Program 2024 using the online application platform. Hard copies or email application forms will not be accepted.

2. For supervision of an admission letter, try to contact relevant academics from Ireland’s higher education institutions as listed above (strongly suggested to contact but without this, you can apply as well). Applications are expected to be entirely the applicant’s own work. i.e. no plagiarism

3. Transcripts must be appropriately stamped and signed to confirm that they are official documents of the institution.

4. Applications are only accepted in either English or Irish.

5. The candidates must make an account in order to access the application.

6. Once the applicant has to fill out the application form, supervisor form, and referee form on the given specimen.",NLA,https://www.youthop.com/scholarships/government-of-ireland-postgraduate-scholarship-2024?ref=browse_page,,,,Masters,(Did not find),
18,Beit Trust Postgraduate Scholarship,International,Beit Cambridge and Beit UCT,"United Kingdom (Zambia, Zimbabwe)",18/10/2023 09:26:51,2024-02-19,"Beit Trust Scholarships are for Postgraduate degrees only. They do not provide scholarships for undergraduate work and their postgraduate focus is on Masters’s Degrees. They do not offer scholarships for Ph.D. research ab initio. Only under exceptional circumstances, and for Beit scholars of outstanding merit, will the Trustees consider extending support to the Ph.D. level.","1. ONLY students who are nationals of Zambia, Zimbabwe or Malawi, who hold permanent residence, live there and/or intend to return to their country after their studies.

2. Applicants must be under 35 years of age on 31 December 2023.

3. Doctors and Vets should have completed 18 months of internship, and a one-year, preferably rural, posting in Zambia, Zimbabwe or Malawi.

4. The Trust cannot consider applications from those who have already begun a course.

5. The Trust will only consider applicants with First Class/Distinction or Upper Second Class Honours degrees (or equivalent) at undergraduate level.","1. Fees, tuition costs, and related academic expenses. These are paid by the Trust direct to the Partner Universities.

2. A personal allowance, index-linked in accordance with guidance from an independent authority, covering maintenance support.

3. Other allowances are paid for arrival, a laptop, and departure.

4. Economy Class tickets are provided for the initial journey to the place of study and on the final return.

5. The Trust will also address any expenses that may arise in 2023/24 as a result of residual Covid protocols.","1. Make your application for admission directly to one or more of the Partner Universities listed above, and only to those universities. Please apply via their websites, which will guide you.

2. Notify the relevant university, as part of your study application, that you will be approaching the Beit Trust for scholarship funding.

3. As long as the course/s you wish to pursue are available, you may apply to more than one Partner University at a time. Indeed, they recommend you do so, to increase your chances of acceptance, and to broaden the scholarship opportunities available.

4. Once you have an offer from your chosen Partner University, you should apply as early as possible to the Beit Trust for a scholarship.

5. Your application, with all the supporting documents, must be uploaded via the Scholarship application link, below in green.

6. You need three referees: Academic, Character and Employer (as appropriate). They have separate and individual forms, the link for which must be forwarded to them by you, the applicant. The link becomes available once you have submitted your scholarship application form electronically.

7. They prefer referees to use the link provided in the application form. If, however, they can only provide their reference by email, please forward them the relevant forms.",N/A,https://www.youthop.com/scholarships/beit-trust-postgraduate-scholarships-2024?ref=browse_page,,,,Masters,All subject available,
19,Eiffel Excellence Scholarship,International,Campus France,France,18/10/2023 09:33:03,2024-01-10,"The Eiffel Excellence Scholarship Program was established by the French Ministry for Europe and Foreign Affairs to enable French higher education institutions to attract top foreign students to enroll in their masters and PhD programs. It gives opportunity to the future foreign decision-makers of the private and public sectors, in priority areas of study, and encourages applicants up to 30 years old from developing countries at master’s level, and applicants up to 35 years old from developing and industrialized countries at PhD level.","1. Nationality: This programme is reserved for candidates of non-French nationality. Candidates with two nationalities, one of which is French, are not eligible.
Age: For Master’s level, the candidate must be at most 30 years old on the date of the selection committee; born on or after 12 March 1987. For Doctoral level, the candidate must be at most 35 years old on the date of the selection committee; born on or after 12 March 1982.

2. Origin of applications: Only applications submitted by French educational establishments are accepted. These establishments undertake to enrol scholarship holders on the course for which they have been selected. Applications submitted by any other means shall not be considered. Furthermore, any candidate nominated by more than one establishment shall be disqualified.
Courses of study: Scholarships are for students wishing to enrol on a master’s course, including at an engineering school, and for PhD students. The Eiffel Programme does not apply to French-run master’s courses abroad, as non-PhD scholarship holders must complete at least 75% of their course in France. It does not apply to training under an apprenticeship contract or a professional training contract either.

3. Combination with other scholarships: Foreign students who, at the time of application, have already been awarded a French government scholarship under another programme are not eligible, even if the scholarship in question does not include social security cover.
For Eiffel Master Scholarship: No application will be accepted for any student who applied previously but was rejected, even if the application is submitted by a different establishment or in another field of study. Students who have already been awarded an Eiffel scholarship at master’s level are not eligible to re-apply at master’s level.

4. For Eiffel PhD Scholarship: Establishments may nominate a candidate who was previously awarded an Eiffel scholarship at master’s level for a scholarship at PhD level. Candidates who have already been awarded an Eiffel scholarship once during their PhD cannot be awarded it for a second time. No application will be accepted for any student who applied previously but was rejected, even if the application is submitted by a different establishment or in another field of study.

5. Language skills: When pre-selecting non-French-speaking candidates, establishments must make sure that their language skills meet the requirements of the relevant course of study.
Students undertaking a course of study abroad take priority over those already living in France.","1. For Master’s level studies, the Eiffel scholarship includes a monthly allowance

2. Can be awarded for 12-36 months

3. For PhD level studies, the Eiffel scholarship includes a monthly allowance of €1,400 and is awarded for a maximum of ten months

4. The programme meets various expenses including international return trip, social security cover, and cultural activity

5. Scholarship holders may also receive an additional housing allowance, under certain conditions.","1. Applications usually open in October and close in January each year.

2. Applications are reviewed from January to March.

3. Pre-selection results are announced in March.

4. Interviews take place in April.

5. Final selection results are announced in May.

6. Individual must apply and meet the requirements of the French Higher Education Institution in order to be considered for the scholarship.

7. It is important to read the Eiffel Programme Guide and visit the official website (link found below) to access the online application form and for detailed information on how to apply for this scholarship.",N/A,https://www.youthop.com/scholarships/eiffel-excellence-scholarship-2024-in-france-for-international-students?ref=browse_page,,,,"Masters, P.H.D",,
20,Swedish Institute Scholarships for Global Professionals,International,Swedish Higher Education Institutions and Swedish Universities,Sweden,18/10/2023 09:36:31,2024-01-15,"The Swedish Institute Scholarships for Global Professionals (SISGP), a new scholarship programme which replaces the Swedish Institute Study Scholarships (SISS) offers scholarships to a large number of master’s programmes at Swedish Universities in the Autumn 2024. The SI Scholarship for Global Professionals aims to develop future global leaders that will contribute to the United Nations 2030 Agenda for Sustainable Development and contribute to a positive and sustainable development in their home countries and region.","1. You must be a citizen of a country that is eligible for SI scholarships (Armenia; Azerbaijan; Bangladesh; Bolivia; Belarus; Brazil; Cambodia; Cameroon; Colombia; Ecuador; Egypt; Ethiopia; Gambia; Georgia; Ghana; Guatemala; Honduras; Indonesia; Jordan; Kenya; Liberia; Malawi; Moldova; Morocco; Myanmar (Burma); Nepal; Nigeria; Pakistan; Peru; Philippines; Rwanda; South Africa; Sri Lanka; Sudan; Tanzania; Tunisia; Uganda; Ukraine; Vietnam; Zambia; Zimbabwe). However, you do not need to reside in the country at the time of the application.

2. The master’s programmes you apply for must be eligible for SI scholarships. The university gives priority to programmes within certain subject areas, depending on your country of citizenship.

3.  You must have demonstrated work experience (conditions apply to certain regions). In addition, you must have demonstrated leadership experience from your current or previous employer, or from civil society engagement.

4. You must be liable to pay tuition fees to Swedish universities, have followed the steps of University Admissions, have paid the application fee on time, and be admitted (or conditionally admitted) to one of the eligible master’s programmes by 21 March 2024.","1. The scholarship covers full tuition fees, living expenses of SEK 12,000 per month, insurance, and a one-time travel grant of SEK 10,000-15,000 (only for scholarship holders living outside Sweden).

2. The scholarship is intended for full-time one-year or two-year master’s programmes, and is only awarded for programmes starting in the autumn semester.","1. To begin with, apply for a master’s programme at universityadmissions.se, by 15 January 2024. Once you have submitted your application for master’s programme(s) at universityadmissions.se, you will get a personal application number consisting of eight digits. Save the number as you will need it when applying to the SI Scholarship for Global Professionals.

2. After you have completed your application to a master’s programme, you can apply for an SI scholarship. You must submit the required documents digitally through the online application portal from 12 February 00:01 until 28 February 2024 14:59 CET.",,https://www.scholars4dev.com/5295/sweden-scholarships-for-international-students-from-developing-countries/,,,,Masters,"Humanities, Agricultural Science, Medicine and Public Health, Natural Science, Social Science and Technology",
21,Eiffel Scholarships in France for International Students,International,French Universities and Academic Institutions,France,18/10/2023 09:43:37,2024-01-10,"The Eiffel Excellence Scholarship Program was established by the French Ministry for Europe and Foreign Affairs to enable French higher education institutions to attract top foreign students to enroll in their masters and PhD programs. It gives opportunity to the future foreign decision-makers of the private and public sectors, in priority areas of study, and encourages applicants up to 25 years old from developing countries at master’s level, and applicants up to 30 years old from developing and industrialized countries at PhD level.",differs according to French Higher Education Institution you are applying to,"1. For Master’s level studies, the Eiffel scholarship includes a monthly allowance of €1,181 and can be awarded for 12-36 months.  For PhD level studies, the Eiffel scholarship includes a monthly allowance of €1,700 and is awarded for a maximum of 12 months.

2. In addition, the programme meets various expenses including international transportation, national transportation, health insurance, housing searches, and cultural activities.

3. Tuition fees are not covered by the Eiffel Programme. However, recipients of French government scholarships are exempt from tuition charges for programs leading to a national diploma (master, doctorate) or accredited engineering degree in public institutions of a scientific, cultural, or professional nature overseen by the Ministry of Higher Education and Research, in accordance with article R719-49 of the national education code.","pplications are NOT accepted from students directly. Applications for EIFFEL scholarships are submitted by French Higher Education Institutions. Applications sent directly by students or by foreign institutions will be declared ineligible.

Therefore, you must apply and meet the requirements of the French Higher Education Institution in order to be considered for the scholarship. Contact the French educational institution or research organization by visiting its website or by emailing or telephoning its office of international relations to learn how to apply for admission (including the date by which your application must be received). Inform them of your wish to be considered for an Eiffel scholarship.

The application deadline to participating French Institutions falls around November-December 2023. The deadline for applications to Campus France is 10 January 2024.

It is important to read the Eiffel Scholarships 2024 Regulations andvisit the official website (link found below) to access the online application form and for detailed information on how to apply for this scholarship.",,https://www.scholars4dev.com/2282/eiffel-scholarships-for-international-students/,,,,"Masters, P.H.D","Tech, Humanities and Social Science",
22,Maastricht University NL-High Potential Scholarships for International Students,International,Maastricht University,Netherlands,18/10/2023 09:47:11,2024-02-01,The Maastricht University (UM) NL-High Potential Scholarship programme offers 24 full scholarships of €30.000 (including tuition fee waiver and monthly stipend) each academic year for highly talented students from outside the European Union (EU) who have been admitted to a Master’s programme at UM.,"• You hold nationality in a country outside the EU/EEA, , Switzerland or Surinam and meet the requirements for obtaining an entry visa and residence permit for the Netherlands.

• You do not hold a double nationality from an EU/EEA country.

• You have applied for admission to a full-time Master’s programme at Maastricht University for the 2024-2025 academic year

• You meet the specific admission requirements of the UM Master’s programme to which you have applied.

• You have never participated in a degree-seeking higher education programme, a primary education programme, or secondary education programme in the Netherlands. Students who completed exchange programmes in the Netherlands are welcome to apply.

• You are not over 35 years of age on 1 September 2024.

• You have obtained excellent results during your prior education programmes, as demonstrated by your latest grade transcript or certified by academic excellence. If several applicants are equally qualified, we will give preference to applicants whose academic transcript or certified letter of academic excellence demonstrate that they are among the top 5% of the 2023/24 scholarship programme applicants.","1. The scholarship covers living expenses (€12,350 – 13 months; €23,750 – 25 months), health and liability insurance (€700), visa application costs (€210), tuition fee (at cost), and pre-academic training costs.

2. The High Potential scholarship is awarded for the duration of the Master’s programme – 13 months for a one-year master’s programme and 25 months for a two-year master’s programme.","To apply for the scholarship, you must first register for one of the participating Master’s Programme (MA) at Maastricht University. Once you have submitted your application via Studielink, you will receive a student ID number which you will need in order to complete and submit the Scholarship Application Form.  You must then fill in the application form, upload the required documents, and submit your application online. The application deadline is 1 February 2024.

It is important to visit the official website (https://www.maastrichtuniversity.nl/support/your-studies-begin/coming-maastricht-university-abroad/um-scholarships-students-abroad) 
to access the application form and for detailed information on how to apply for this scholarship.",,https://www.scholars4dev.com/2808/scholarships-for-high-potential-international-students-at-maastricht-university/#google_vignette,,,,Masters,All subject available,
23,Radboud Scholarship Programme for International Students,International,Radboud University,Netherlands,18/10/2023 09:52:25,2024-01-31,The Radboud Scholarship Programme offers a selected number of talented prospective non-EEA students the opportunity to receive a scholarship to pursue a complete English-taught Master’s degree programme at Radboud University.,"1. hold a non-EU/EEA passport

2. are not eligible for the lower EEA tuition fee for other reasons

3. have (will obtain) a Bachelor’s degree achieved outside the Netherlands, have no degrees achieved in the Netherlands and did not receive any previous education in the Netherlands

4. have been fully admitted to the English-taught Master’s degree programme starting 1 September 2024 as stated in the formal letter of admission

5. are able to comply with the conditions for obtaining a visa for the Netherlands

6. are enrolled at Radboud University as a full-time student for the academic year and Master’s degree programme for which the scholarship will be awarded.","1. A partial scholarship will reduce your tuition fee to € 2,530. For example: a grant holder in 2024/2025 will pay a tuition fee of only €2,530, instead of €17,000.

2. The scholarships also covers costs such as those for visa, residence permit, health insurance and liability insurance for your stay in Netherlands.

3. In case you are selected as a scholarship recipient and you are admitted to a two-year Master’s programme: to qualify for the grant again for the second year, you need to have passed all courses in the first year.","You can apply by indicating during your application for admission for a Master’s programme in the OSIRIS Application system that you wish to apply for a Radboud Scholarship. You will then be requested to upload three additional documents: two reference letters and a curriculum vitae.  You must have completed your application before 31 January 2024 23:59 CEST.

It is important to visit the official website 
(http://www.ru.nl/english/education/master’s-programmes/financial-matters/scholarships-grants/read_more/rsprogramme/)
 to access the online application system for detailed information on how to apply for this scholarship.",,https://www.scholars4dev.com/6127/radboud-university-scholarships-for-international-students/,,,,Masters,All subject available,
24,Chalmers IPOET Scholarships for International Students,International,Chalmers University of Technology,Sweden,18/10/2023 09:55:02,2024-01-15,"Chalmers will be offering around 35 IPOET scholarships in 2023, funded by the Swedish Council for Higher Education, to prospective fee-paying students.","• Citizens from non-EU/EEA countries who are required to pay tuition fees for Swedish university education

• 1st year Master’s Programme applicants","•  A 75% reduction of the tuition fees (4 semesters / 2 year programme)

• Students who excel during their first year of studies may receive an increased scholarship reduction, which covers 85% of the tuition fee during the second and final year of studies

•  No funds are transferred to the scholarship laureates","1. To apply, you must first make an online application to at least one of the Master’s programmes offered by Chalmers at the website universityadmissions.se from 16 October 2023 – 15 January 2024. Each applicant is assigned an application number (from your application for Master’s programmes at universityadmissions.se) and this number is required in order to complete the scholarship application.

2. Application for scholarships administered by Chalmers University of Technology is a separate application process. The deadline for scholarship applications is 17 January 2024.",,https://www.scholars4dev.com/9822/chalmers-ipoet-scholarships-for-international-students/,,,,Masters,All subject available,
25,Danish State Tuition Fee Waivers and Scholarships,International,Roskilde University,Denmark,02/11/2023 22:10:38,2024-01-15,"A limited number of Danish state tuition fee waivers and scholarships are offered to highly talented students at graduate level, who come from countries outside of the EU/EEA and need a residence permit to study at Roskilde University.","In order to be eligible to apply for a tuition fee waiver and scholarship, you must be a non-EU/EEA citizen that is required to pay tuition fees.","1. Tuition fee waiver and a scholarship of DKK 7,800 per month to cover living expenses in Denmark.

2. The tuition fee waiver and scholarship has a maximum length of 22 months for programmes that start in September.","You apply by uploading a motivational letter and CV outlining your academic and occupational background to your online application for admission to the master’s programmes before 15 January 2024 for September 2024 entry.

It is important to read the how to apply page and visit the official website 
( https://ruc.dk/en/step-5-tuition-fees-tuition-fee-waivers-and-scholarships)
 for detailed information on how to apply for this scholarship.",,https://www.scholars4dev.com/10967/danish-state-tuition-fee-waivers-and-scholarships-at-roskilde-university/,,,,Masters,• Master in Environmental Science • Master in International Politics and Governance • Master in Media and Communication • Master in Social Entrepreneurship and Management,
26,KTH Scholarships,International,KTH Royal Institute of Technology ,Sweden,06/11/2023 22:10:48,2024-01-15,"Every year, a limited number of KTH Scholarships are awarded based on academic excellence to students who are required to pay tuition fees and who has applied for a Master’s programme at KTH as first priority. Other KTH scholarships are also offered:

• KTH One-Year Scholarship
• KTH Joint Programme Scholarship
• KTH India Scholarship","1. To be eligible to apply, you must be required to pay tuition fees and have applied for a Master’s programme at KTH as your first priority. Students with a conditional eligibility are eligible to apply for a scholarship.

2. The scholarship is granted primarily on the basis of academic excellence and the nomination process will be undertaken in parallel with the selection process for admission to the programme.  Only applicants who fulfil the admission requirements of the programme applied for are eligible for a scholarship.","The KTH Scholarship covers the tuition fee at KTH for the first and the second year, provided that the study results during the first year are satisfactory. The scholarship does not include living costs","To be considered for the scholarship, you must apply for admissions to an eligible Master’s programme at KTH. Applications are done online at www.universityadmissions.se. Deadline is 15 January 2024 (midnight CET).

It is important to read the how to apply page and visit the official website (https://www.kth.se/en/studies/master/general/scholarships/kth-scholarship-1.72827)
 to access the application form and for detailed information on how to apply for this scholarship.",,https://www.scholars4dev.com/14048/kth-tuition-fee-waivers-for-non-eu-students/,,,,Masters,All subject available,
